Student,LPIPS,SSIM
113590033.png,0.1873353123664856,0.7421515417235115
111590028.png,0.22724241018295288,0.7410695049157979
113590039.png,0.22872626781463623,0.711680624728856
113590051.png,0.22941558063030243,0.7177965319444614
113370239.png,0.23137542605400085,0.7071072377538347
110590455.png,0.23601961135864258,0.7271093511669589
111590047.png,0.2406633198261261,0.7240323065654548
113590031.png,0.2530409097671509,0.6889455611071311
113590040.png,0.2583296298980713,0.7602995081929499
114054809.png,0.2593236565589905,0.7020037332909012
113590026.png,0.2628649175167084,0.7121002652039972
113590060.png,0.2654942572116852,0.7435817386730873
113590056.png,0.26882266998291016,0.6904626631720282
113590052.png,0.28756970167160034,0.6748613359843064
113590015.png,0.2904975414276123,0.6699671862413729
113590005.png,0.29124751687049866,0.7621280618166045
111590062.png,0.30276763439178467,0.6898101444673677
113590061.png,0.3064274489879608,0.700626382218631
113590003.png,0.3097871243953705,0.6747273093262711
113590022.png,0.3099431097507477,0.6595481148427873
113590001.png,0.31157243251800537,0.6839382980653635
113590036.png,0.3119564652442932,0.6647118720900825
112590452.png,0.311972051858902,0.6658240990903936
113590047.png,0.3125396966934204,0.7614198799876608
113590044.png,0.31571534276008606,0.6490154683248692
113AC1012.png,0.31737351417541504,0.6760145248756751
113590021.png,0.3186763525009155,0.6759573848693003
112590040.png,0.33275675773620605,0.6526847003368604
113590062.png,0.3332339823246002,0.616980290321927
113590004.png,0.33821648359298706,0.7597470538313466
112590454.png,0.34155750274658203,0.6437285240525961
113590045.png,0.344791054725647,0.6402755328113062
112590455.png,0.34655970335006714,0.6738253994007997
113590043.png,0.36163511872291565,0.7669328846507643
113590025.png,0.36485451459884644,0.773042904313483
113590057.png,0.3656347095966339,0.6326768063443512
113590032.png,0.36580342054367065,0.7074236955018782
113AB0018.png,0.37895700335502625,0.6030101411249765
113590010.png,0.3815469741821289,0.6221971439188156
113590002.png,0.39156025648117065,0.6280927896942765
113590011.png,0.39303678274154663,0.593898609653719
113590006.png,0.39532938599586487,0.5951295255085994
111590042.png,0.40330228209495544,0.7841958060578013
113590018.png,0.40763264894485474,0.6132870737297518
113590023.png,0.41221246123313904,0.5488292689538126
113590050.png,0.41759222745895386,0.5754829407873052
113590042.png,0.43333926796913147,0.5946113752156619
113590059.png,0.4512115716934204,0.5457815674593873
113590028.png,0.4537201523780823,0.5653673025802783
113590049.png,0.4781833589076996,0.5150779854204378
111590455.png,0.5114812850952148,0.5386240965965007
113590008.png,0.5396490097045898,0.46745679404308865
113590013.png,0.5411818623542786,0.4012273138310079
112590058.jpg,0.5486562252044678,0.4057874544050301
